carat,cut,color,clarity,price
0.71,2,4,1,7.726
0.35,3,1,1,6.669
0.31,4,3,6,6.649
0.3,3,5,3,6.41
0.54,4,0,4,7.621
0.38,4,5,4,6.515
1.08,2,2,6,9.231
1.28,4,4,6,9.078
1.08,4,3,1,8.585
1.5,3,6,3,9.131
0.39,2,0,5,6.962
1.01,2,4,1,8.382
0.9,3,0,1,8.436
1.84,3,4,1,9.54
0.79,3,6,1,7.696
1.61,1,1,2,9.287
1.12,3,3,7,9.119
0.31,4,2,5,6.574
0.31,4,3,3,6.465
1.22,3,5,4,8.639
0.7,1,2,4,7.86
1.07,3,2,2,8.443
0.33,4,3,3,6.55
0.4,3,0,5,7.188
0.5,1,2,4,7.27
0.5,1,0,2,6.865
0.56,4,2,2,7.154
0.41,4,0,4,7.071
1.03,3,5,1,8.098
0.54,4,1,3,7.508
0.3,4,2,4,6.654
0.9,3,3,1,8.236
0.61,4,5,2,7.245
1.26,2,4,2,8.655
1.22,3,4,3,8.893
0.4,3,1,4,6.816
0.34,4,1,2,6.118
1.0,3,4,4,8.514
1.58,4,1,1,9.515
2.01,4,5,1,9.748
0.32,4,0,4,6.631
2.0,2,6,4,9.476
1.27,4,1,3,9.379
1.5,2,2,1,9.302
0.5,4,2,2,7.093
1.51,4,5,1,9.029
0.62,3,3,4,7.508
1.68,3,6,2,8.943
0.52,4,3,3,7.451
1.01,2,1,1,8.518
1.28,4,3,2,8.681
0.5,4,4,4,7.394
0.66,2,3,5,7.701
1.01,2,2,4,8.726
0.31,4,3,4,6.299
0.31,4,2,7,7.052
0.58,4,2,6,7.911
0.4,2,2,1,6.782
0.9,4,3,3,8.62
1.5,3,2,1,9.079
1.17,3,0,3,9.204
1.5,2,0,3,9.705
0.9,2,1,1,8.307
0.72,1,2,5,8.054
0.71,4,0,4,8.05
1.56,4,6,4,8.963
0.71,2,3,4,7.853
0.52,2,3,6,7.656
0.71,2,6,3,7.597
1.11,4,5,1,8.457
1.27,3,5,1,8.646
0.24,2,0,1,6.163
1.05,2,4,2,8.333
1.01,3,3,2,8.354
0.7,3,0,2,7.706
0.42,3,1,4,6.865
0.34,4,4,6,6.621
1.11,4,1,2,8.586
1.65,2,6,1,8.98
0.81,2,4,3,8.04
0.81,4,3,5,8.325
1.47,0,4,0,8.497
2.08,3,5,2,9.637
1.55,4,5,4,9.131
0.32,4,1,5,6.658
0.55,4,1,4,7.447
0.3,3,5,1,6.227
1.56,2,6,1,8.912
0.7,1,1,3,7.99
0.3,2,1,4,6.461
0.33,3,3,4,6.611
0.72,3,1,2,7.662
0.7,3,3,3,7.822
1.04,2,0,3,9.011
0.34,1,4,4,6.286
1.02,3,4,1,8.476
0.31,1,1,1,6.299
1.12,4,1,1,8.773
1.0,2,4,1,8.508
0.33,4,3,3,6.501
0.55,3,3,1,7.186
1.2,3,4,3,8.799
1.51,3,3,1,9.282
0.54,2,1,4,7.442
0.32,3,5,3,6.474
0.33,3,3,3,6.75
0.54,4,3,5,7.593
0.3,4,1,7,6.849
0.31,3,6,1,6.142
0.41,1,2,3,6.792
0.72,4,4,1,7.807
0.43,4,4,6,7.169
0.9,2,2,1,8.267
0.3,0,1,5,6.373
1.01,3,3,4,8.717
1.5,3,3,2,8.868
0.56,3,1,4,7.53
0.33,4,0,1,6.41
0.5,2,0,3,7.447
1.2,3,3,3,8.695
0.7,2,5,1,7.672
0.38,4,2,3,6.906
0.43,4,0,1,6.97
0.42,4,0,5,7.19
0.31,4,1,4,6.771
1.04,2,2,2,8.338
1.26,4,1,1,9.056
0.3,4,0,1,6.314
1.56,3,1,4,9.406
0.43,3,2,4,6.875
0.5,1,2,1,7.102
0.27,2,3,6,6.339
0.78,2,0,4,8.207
0.53,1,1,3,7.482
1.06,4,3,2,8.515
0.4,2,2,3,6.844
0.59,4,3,1,7.227
1.08,2,1,2,8.223
1.21,4,4,4,8.68
0.4,3,0,1,6.898
0.41,4,0,2,6.735
0.32,4,0,1,6.628
0.58,3,1,1,7.249
1.1,2,6,2,8.362
0.71,1,2,3,7.847
0.33,2,2,3,6.649
0.25,3,1,3,6.075
0.25,4,1,4,6.282
1.0,3,0,1,8.679
0.7,2,2,3,8.024
0.32,4,3,4,6.579
0.51,4,1,3,7.472
1.51,4,4,4,9.354
2.03,2,3,1,9.812
1.02,4,5,1,8.463
1.04,2,3,1,8.531
0.37,4,2,6,6.836
0.43,4,3,3,6.849
0.3,4,3,5,6.745
0.5,1,6,1,6.866
1.56,3,3,2,9.089
0.71,2,1,3,8.009
1.25,4,4,2,8.497
0.38,4,4,2,6.234
0.94,3,2,2,8.35
0.35,4,2,4,6.56
0.3,2,4,1,6.223
0.41,4,2,4,6.76
0.31,4,3,6,6.671
0.32,3,2,7,6.985
0.36,3,4,4,6.592
1.54,1,4,3,9.284
0.41,3,1,2,6.526
2.01,4,3,2,9.776
0.66,2,4,3,7.59
1.02,0,5,2,8.243
0.52,4,4,6,7.501
1.01,1,3,5,8.9
1.59,3,4,1,9.086
0.6,4,3,5,7.761
0.26,4,1,3,6.114
0.42,4,5,3,6.65
0.8,2,6,1,7.707
2.01,0,6,3,9.575
1.76,2,6,2,9.111
1.63,1,2,1,9.297
1.24,4,6,2,8.473
0.58,4,3,2,7.151
0.74,4,3,1,8.049
0.36,4,4,4,6.375
0.3,2,2,4,6.405
0.71,2,1,1,7.828
1.34,3,3,4,9.137
1.01,3,1,2,8.448
0.41,4,3,4,6.967
0.9,2,0,1,8.404
0.31,4,3,6,6.649
0.37,3,2,2,6.436
2.01,4,6,1,9.442
0.71,3,0,4,7.946
1.52,0,4,1,8.914
2.22,3,2,2,9.514
0.47,2,2,1,6.929
1.0,0,1,1,8.328
2.25,3,5,2,9.316
0.55,4,6,1,7.003
0.38,4,3,5,6.834
1.51,1,3,4,9.362
1.21,4,5,3,8.747
1.0,1,1,6,9.031
0.33,3,1,1,6.611
1.39,3,3,1,8.968
1.5,2,4,2,8.894
0.53,4,3,3,7.491
0.3,3,1,1,6.515
0.3,3,5,5,6.265
0.51,4,1,3,7.638
0.6,4,1,4,7.691
0.5,3,4,2,6.865
0.61,4,3,3,7.681
0.46,4,6,6,6.926
2.01,1,4,1,9.725
1.07,4,5,1,8.657
1.01,2,4,2,8.186
0.41,4,3,2,6.729
0.45,3,1,3,7.156
0.42,4,5,6,6.784
0.92,4,5,1,8.109
1.01,1,1,4,8.849
0.23,2,0,5,6.273
0.54,4,2,4,7.391
0.55,2,1,5,7.783
0.4,4,1,6,7.242
0.78,2,4,2,7.761
0.9,2,2,2,8.122
0.52,2,0,4,7.511
0.7,1,2,5,7.909
0.9,1,4,3,8.368
0.9,1,4,1,8.145
1.51,1,4,1,9.089
1.0,1,2,1,8.505
1.08,4,3,4,8.844
1.72,1,2,1,9.51
0.38,4,2,2,6.718
0.9,1,2,4,8.368
0.36,2,4,4,6.368
0.91,4,2,2,8.443
0.37,3,3,1,6.562
0.9,3,2,2,8.148
0.5,4,1,4,7.545
1.51,4,3,5,9.599
0.32,4,4,4,6.26
0.51,2,5,4,7.039
0.41,4,3,4,6.967
0.9,2,1,2,8.146
2.01,4,5,2,9.421
0.32,4,4,6,6.842
2.0,1,3,4,9.792
0.91,3,0,1,8.349
0.71,3,2,6,8.116
1.53,4,2,1,9.352
1.19,3,4,1,8.648
0.62,0,2,1,7.403
1.2,2,5,1,8.559
0.7,4,1,1,8.111
0.39,2,3,6,6.75
0.33,4,4,7,6.766
0.53,4,1,5,7.729
0.34,3,1,4,6.613
1.02,3,2,5,9.08
0.5,0,2,0,6.441
0.55,4,3,5,7.575
0.3,4,3,7,6.76
0.31,4,3,6,6.953
0.77,1,1,4,8.099
0.55,1,2,1,7.244
0.9,1,0,4,8.451
0.3,3,5,3,6.41
1.26,3,6,1,8.533
0.8,4,2,4,8.305
0.73,3,1,1,7.902
0.27,2,4,5,6.223
0.5,2,0,1,7.27
1.0,2,3,2,8.22
0.9,0,5,5,8.031
0.52,4,4,3,7.377
0.75,2,1,4,8.247
0.71,2,1,2,7.773
0.4,2,0,1,6.829
1.56,4,5,5,9.257
0.29,2,2,6,6.498
0.9,2,0,3,8.658
1.03,4,2,3,8.956
1.07,2,0,1,8.7
0.28,2,1,6,6.465
0.59,4,3,4,7.417
0.9,4,0,2,8.292
0.43,2,4,6,7.107
2.0,2,4,1,9.785
1.01,3,4,1,8.078
1.33,4,3,3,9.263
0.31,4,0,1,6.528
0.41,4,1,5,7.125
1.51,3,5,3,9.16
0.3,3,5,3,6.41
0.4,1,6,3,6.447
1.04,0,3,3,8.636
2.33,3,6,1,9.596
0.35,4,0,4,6.72
1.26,3,5,2,8.547
0.4,3,0,4,6.957
0.71,1,5,5,7.733
0.71,3,1,6,8.237
1.12,4,2,5,9.173
1.74,4,6,3,9.323
0.73,3,1,4,7.956
0.71,4,2,2,7.834
0.4,4,1,4,6.816
0.41,2,4,1,6.526
0.38,3,2,6,7.136
1.33,1,5,3,8.848
0.4,4,3,6,6.965
0.7,2,5,6,7.829
0.37,4,3,7,6.831
0.59,3,2,1,7.661
0.54,3,2,1,7.434
0.7,2,3,4,7.742
0.91,2,4,1,8.294
0.31,1,2,5,6.492
0.33,2,3,6,6.766
0.34,4,5,1,6.129
1.1,4,3,5,9.129
0.5,2,3,1,7.088
0.31,3,3,4,6.299
0.27,2,0,3,6.153
0.31,3,5,1,6.286
0.5,1,2,4,7.277
1.26,3,3,2,8.683
1.41,1,4,4,9.133
0.58,4,2,3,7.59
0.53,3,0,1,7.356
0.72,2,5,2,7.553
0.32,4,6,4,5.974
0.3,2,4,4,6.159
1.31,4,3,3,9.22
0.53,4,4,1,6.982
0.34,3,3,1,6.477
1.0,2,1,1,8.677
0.53,4,1,2,7.114
0.5,4,4,4,7.277
1.43,3,0,4,9.538
0.52,3,2,0,6.768
0.3,2,5,1,5.945
0.41,1,4,4,6.592
0.7,1,0,4,7.919
0.93,3,2,2,8.194
0.52,4,6,1,7.241
0.9,1,2,1,8.458
1.0,0,3,0,7.782
1.09,4,6,4,8.38
0.5,2,0,4,7.44
0.36,3,0,4,6.748
0.56,3,0,2,7.236
0.43,3,0,4,6.87
0.4,4,6,1,6.417
1.3,1,6,1,8.564
0.41,2,0,3,6.926
0.33,1,5,1,6.098
0.7,4,3,4,8.146
0.3,3,2,4,6.405
0.3,3,0,4,6.815
1.73,4,5,4,9.508
0.28,4,3,3,6.194
1.02,3,3,1,8.441
0.93,4,1,1,8.338
0.5,2,2,4,7.148
1.19,4,6,2,8.414
0.24,4,3,7,6.326
0.75,3,1,2,7.948
1.09,4,0,2,8.596
0.37,4,4,1,6.279
0.7,4,3,1,7.815
1.51,4,3,3,9.594
0.52,4,3,5,7.553
0.43,4,3,5,6.962
0.3,4,1,5,6.73
0.9,1,2,4,8.351
1.99,0,4,4,9.782
0.33,3,3,4,6.611
0.41,1,2,5,7.048
0.5,4,1,4,7.352
0.7,4,3,3,8.018
1.5,3,2,3,9.662
0.27,4,5,5,6.375
0.3,4,4,5,6.38
0.36,3,0,4,6.748
0.71,2,1,1,8.046
0.9,2,1,2,8.269
1.21,4,4,3,8.963
0.37,3,2,1,6.673
0.34,4,1,5,6.717
1.35,4,0,4,9.269
0.5,2,3,1,7.092
0.31,3,2,4,6.687
0.7,4,1,1,8.111
0.39,4,2,1,6.576
0.34,3,0,4,6.94
0.4,2,2,3,6.89
0.38,2,3,1,6.501
1.05,2,2,4,8.826
1.46,4,4,1,9.089
0.91,4,6,3,8.092
0.23,3,0,5,6.522
0.79,4,5,3,7.968
0.32,4,1,6,6.718
1.2,1,0,0,8.377
0.9,2,0,1,8.264
1.71,2,6,3,9.252
1.01,0,1,1,8.338
0.72,4,3,3,7.918
1.55,2,5,3,9.279
0.34,4,4,3,6.64
1.01,3,4,1,8.341
1.14,3,4,1,8.507
0.5,2,0,4,7.469
0.54,2,2,3,7.503
0.32,2,4,6,6.51
1.2,1,4,4,8.775
0.72,4,2,3,7.965
0.96,0,4,0,7.5
1.15,3,3,1,8.471
0.9,2,0,3,8.665
0.59,4,1,5,7.88
0.31,4,1,5,6.704
0.77,4,6,1,7.672
1.51,2,2,4,9.543
0.9,3,3,1,8.263
1.18,4,3,6,9.115
1.08,2,5,1,8.361
1.01,3,2,4,8.843
0.3,4,2,4,6.654
0.72,2,1,1,7.855
0.33,4,2,6,6.968
0.3,4,4,4,6.196
1.01,0,0,2,9.211
1.21,4,0,5,9.423
0.7,2,3,1,7.689
1.01,2,1,4,8.75
1.02,3,5,4,8.403
0.31,4,0,5,6.691
0.71,4,4,5,7.861
0.59,4,0,2,7.36
0.7,4,3,4,7.876
1.51,3,6,5,9.097
0.54,3,0,4,7.545
1.02,2,3,1,8.469
1.69,4,5,4,9.521
0.83,2,5,4,7.96
0.32,4,1,7,7.065
1.39,4,3,5,9.43
1.01,3,1,0,8.13
0.31,3,0,4,6.848
0.73,4,2,2,7.73
0.53,4,1,4,7.503
0.57,4,5,3,7.212
1.51,3,3,3,9.521
0.54,3,2,4,7.503
1.47,2,4,2,8.914
0.52,4,3,5,7.607
0.23,4,3,6,6.284
1.2,4,2,4,9.068
1.0,2,1,3,8.854
0.71,3,0,2,7.926
0.4,4,3,6,7.024
0.71,0,6,2,7.217
1.01,2,4,6,8.815
0.3,4,3,5,6.778
0.46,4,0,4,7.123
1.02,3,2,2,8.363
1.23,3,5,3,8.636
1.0,3,2,6,9.2
1.12,4,0,3,9.179
1.27,4,3,6,9.288
2.05,1,3,2,9.699
0.4,4,2,5,6.992
1.11,1,0,2,8.52
1.23,4,4,4,8.765
0.63,1,6,1,7.034
1.01,3,3,1,8.435
1.09,4,4,2,8.358
0.31,4,0,1,6.596
0.9,2,6,4,8.054
1.01,3,2,1,8.623
1.23,2,1,1,8.874
0.31,2,0,2,6.136
0.32,4,3,2,6.129
2.26,3,5,2,9.695
1.12,3,5,1,8.313
1.01,2,4,6,8.821
0.3,1,3,5,6.519
1.56,4,4,2,8.812
0.62,4,3,5,7.827
0.31,3,3,4,6.299
1.51,1,5,1,9.017
0.72,3,1,1,7.96
0.7,4,1,3,8.115
1.0,0,4,3,8.382
0.4,2,3,2,6.39
1.24,3,0,2,8.849
0.52,2,5,1,6.886
0.41,2,5,6,6.742
1.14,4,4,4,8.689
0.52,2,1,3,7.611
0.37,1,4,1,6.269
1.01,4,3,2,8.345
0.8,3,6,3,7.697
0.3,3,3,6,6.808
1.03,3,0,2,8.469
1.06,4,3,1,8.593
1.03,3,3,2,8.392
1.01,4,4,4,8.689
0.25,2,1,5,6.306
1.18,4,3,3,9.038
0.52,3,0,4,7.519
0.3,4,3,6,6.639
0.28,2,2,5,6.465
0.55,4,1,6,7.867
0.38,3,0,6,7.244
1.6,4,4,1,9.164
0.7,3,2,1,7.793
0.34,4,0,0,6.273
1.54,4,3,2,9.162
1.11,4,1,1,8.747
0.52,4,3,1,7.253
0.31,4,1,4,6.544
0.72,4,0,1,8.027
0.32,3,3,4,6.579
0.8,3,6,2,7.612
1.03,3,4,4,8.587
0.41,2,1,2,6.458
0.42,3,3,3,6.825
0.52,2,6,6,7.217
1.18,4,5,1,8.59
0.32,4,3,3,6.561
0.53,3,2,4,7.397
0.52,4,0,5,7.742
0.31,4,4,5,6.687
0.71,4,2,3,8.219
0.55,3,2,2,7.069
0.33,4,6,3,6.323
0.31,3,2,4,6.619
0.93,2,5,3,8.302
0.33,3,4,3,6.541
0.34,4,5,1,6.378
0.31,3,3,5,6.81
0.5,3,1,3,7.424
0.91,2,2,2,8.205
0.41,4,1,5,7.079
1.52,2,3,4,9.396
0.58,4,3,1,7.193
0.27,3,1,6,6.683
0.61,2,2,2,7.27
0.51,4,2,6,7.7
0.38,4,6,4,6.277
0.56,2,4,1,7.088
0.51,4,0,5,7.908
0.43,4,0,1,6.901
0.9,2,3,2,8.147
0.75,3,1,4,8.014
0.8,2,3,1,8.029
1.0,3,0,2,8.468
2.12,2,2,2,9.781
0.52,4,4,6,7.546
0.3,4,2,7,7.031
0.72,2,4,3,7.965
0.53,4,1,1,7.255
1.71,3,5,4,9.389
0.45,4,2,1,6.835
1.11,2,1,2,8.336
0.81,2,4,1,7.849
1.33,2,2,1,9.007
0.31,4,3,4,6.353
0.62,4,0,1,7.567
1.01,3,2,1,8.441
0.32,4,3,3,6.5
1.01,4,2,1,8.688
0.53,1,1,1,7.194
0.57,4,0,4,7.578
1.58,4,5,1,9.155
1.13,1,0,2,8.391
2.21,3,4,2,9.568
2.02,3,5,3,9.75
2.0,4,5,2,9.329
1.54,3,0,4,9.375
0.72,4,1,4,7.953
1.5,2,1,2,8.953
1.1,2,0,2,8.38
0.31,4,1,6,6.763
0.31,3,3,6,6.704
1.2,4,6,3,8.525
1.02,3,5,1,8.349
1.21,2,5,2,8.52
1.03,3,2,1,8.534
1.03,4,3,2,8.405
0.32,4,1,3,6.613
0.4,4,5,5,6.646
0.3,2,4,1,6.068
0.3,0,0,2,6.284
0.71,3,0,4,8.076
0.41,1,4,1,6.526
0.53,3,1,4,7.503
1.51,1,0,1,9.325
0.35,4,2,5,6.613
0.56,3,0,4,7.582
0.32,4,2,4,6.561
0.44,2,3,5,6.986
0.7,4,3,4,7.771
0.75,4,1,1,7.994
0.52,2,0,1,7.277
0.24,2,0,6,6.198
0.5,3,0,1,7.37
0.31,3,2,4,6.687
1.5,3,0,0,8.748
0.71,1,1,2,7.779
0.56,3,1,4,7.557
2.14,3,1,2,9.814
0.71,4,2,3,8.219
0.4,2,3,1,6.802
1.11,4,0,5,9.425
0.51,2,2,3,7.427
0.35,4,2,5,6.678
0.52,3,0,4,7.508
1.53,2,4,3,9.218
0.76,3,1,2,7.783
2.01,0,1,2,9.32
0.47,2,2,2,6.964
0.52,4,1,4,7.504
2.06,3,4,2,9.686
0.32,3,4,5,6.719
0.72,3,6,2,7.419
0.32,4,3,5,6.562
0.6,2,2,4,7.728
1.25,3,3,4,8.981
0.5,1,1,2,7.004
1.07,2,2,7,9.307
0.3,4,1,4,6.489
0.7,0,3,4,7.729
0.76,4,1,1,7.993
0.42,4,2,3,7.006
0.57,3,1,2,7.185
0.71,3,2,2,7.817
0.41,4,3,3,6.801
1.01,2,3,1,8.474
0.25,1,4,6,5.994
0.53,1,5,3,7.182
0.46,1,2,3,7.113
1.11,3,5,4,8.465
0.7,1,1,2,7.785
0.7,4,2,6,8.189
1.32,4,5,6,9.048
1.05,3,1,1,8.691
0.3,3,5,1,6.227
0.31,2,4,7,6.657
1.0,4,1,4,8.707
0.37,3,2,4,6.864
0.73,4,1,4,8.152
0.35,3,0,1,6.718
0.32,4,2,6,6.816
0.26,2,2,6,6.521
1.12,3,0,2,8.563
1.54,2,6,1,8.916
0.51,4,2,5,7.695
0.71,3,2,4,7.956
0.45,2,3,2,6.639
0.7,2,3,5,8.024
1.23,4,3,1,8.781
1.75,4,4,0,8.91
1.5,1,4,2,8.597
1.57,2,5,3,9.276
0.58,4,3,3,7.541
0.36,3,2,1,6.646
0.51,4,0,4,7.488
1.0,2,2,2,8.24
0.5,3,4,1,6.995
0.93,2,0,0,7.87
0.32,4,4,5,6.469
0.35,4,1,3,6.648
0.35,2,2,6,6.812
0.31,3,1,4,6.771
1.01,2,2,2,8.295
1.41,2,2,2,8.884
2.74,0,6,0,9.083
0.96,4,3,2,8.261
1.13,4,3,3,8.994
2.01,3,4,4,9.745
1.51,0,3,1,9.069
1.21,4,5,1,8.56
1.04,3,1,2,8.495
0.3,4,5,3,6.196
1.01,1,2,1,8.48
0.31,3,2,4,6.687
0.7,2,5,5,7.789
0.53,2,2,5,7.539
1.02,4,0,7,9.653
0.32,4,3,7,6.822
0.9,1,0,1,8.341
1.17,4,4,1,8.759
2.16,2,5,1,9.785
2.02,3,5,2,9.572
0.28,4,0,4,6.188
2.42,3,6,4,9.751
0.42,2,3,1,6.82
0.35,4,0,6,7.193
1.01,0,0,4,8.713
0.32,4,3,3,6.4
0.35,3,1,4,6.892
0.41,3,1,3,6.984
1.02,1,2,1,8.507
1.11,4,5,1,8.487
1.06,2,2,1,8.616
0.9,2,1,1,8.468
0.33,4,3,6,6.709
1.0,1,0,1,8.638
0.32,4,4,3,6.33
0.3,4,5,6,6.314
0.31,4,5,3,6.24
0.33,3,0,2,6.447
2.08,3,4,2,9.38
0.38,4,5,1,6.365
1.02,1,6,2,8.17
0.33,4,5,7,6.792
0.7,2,1,1,7.689
1.0,4,6,3,8.329
0.97,3,3,1,8.389
0.38,4,2,7,7.242
0.7,4,5,3,7.812
1.18,3,6,2,8.342
0.32,3,3,5,6.842
1.01,1,4,4,8.509
0.32,3,1,4,6.802
0.47,4,1,5,7.656
1.0,4,5,4,8.414
1.51,2,2,1,9.15
0.33,4,1,1,6.217
0.5,1,1,1,6.994
0.38,4,4,7,6.97
0.3,4,2,3,6.402
1.66,1,6,4,9.047
0.4,4,5,1,6.436
1.69,3,2,4,9.716
1.53,3,6,6,9.147
0.31,2,1,5,6.704
0.46,4,2,2,6.746
0.39,4,3,7,7.393
0.32,2,4,4,6.225
0.42,4,0,4,6.844
0.55,2,2,1,7.221
0.32,4,0,4,6.631
0.43,1,1,2,6.506
0.34,4,3,6,6.797
1.01,3,1,5,9.181
0.8,4,4,4,8.056
1.29,2,3,2,8.305
0.26,2,3,4,5.984
1.07,4,1,2,8.593
1.17,3,0,3,9.222
1.01,3,3,5,8.97
0.71,2,2,4,8.109
1.02,2,4,4,8.624
0.62,3,3,4,7.518
1.2,2,4,3,8.992
1.0,1,1,4,8.712
1.38,2,2,3,9.331
0.35,3,2,4,6.809
0.77,3,6,4,7.491
1.2,4,3,5,9.149
0.36,2,1,1,6.447
0.6,2,3,4,7.48
0.59,4,1,1,7.353
1.5,2,5,4,9.067
0.71,3,0,6,8.351
1.04,2,1,1,8.591
0.41,3,3,3,6.868
1.2,1,5,1,8.559
0.7,3,3,1,7.763
0.9,2,2,1,8.281
0.24,3,1,6,6.565
1.0,2,1,6,9.256
1.34,3,1,7,9.779
0.52,4,0,3,7.557
0.3,4,4,7,6.639
0.79,2,1,4,8.172
0.38,4,2,5,7.018
1.04,4,3,4,8.755
1.01,2,2,4,8.726
0.81,2,2,1,7.958
0.9,3,3,2,8.063
0.36,4,4,6,6.639
1.53,4,3,5,9.634
0.23,1,2,5,6.052
1.02,4,3,4,8.686
0.32,3,4,6,6.593
1.6,3,2,2,9.051
0.3,1,3,3,6.654
0.9,2,4,2,8.041
0.7,3,4,3,7.769
0.71,2,5,5,7.822
0.9,3,6,2,7.907
1.02,2,5,4,8.52
1.58,4,1,4,9.654
0.7,3,2,1,7.694
0.71,3,5,4,7.738
0.3,4,3,5,6.528
0.31,2,1,1,6.548
0.8,2,2,2,7.808
0.57,4,3,3,7.504
0.25,4,3,5,6.263
0.5,3,3,5,7.568
1.0,1,1,2,8.295
1.01,2,1,2,8.426
0.9,4,4,1,8.201
1.05,3,4,4,8.58
1.11,4,4,6,9.049
1.01,2,5,1,8.346
1.5,3,1,3,9.691
0.72,2,1,2,7.773
0.9,2,0,2,8.17
0.36,4,1,3,6.998
1.06,4,3,3,9.022
1.0,2,4,2,8.298
0.4,4,1,1,6.561
0.51,2,0,4,7.413
1.53,4,5,3,9.287
0.4,4,3,6,7.09
1.0,3,1,2,8.23
0.54,3,1,3,7.581
0.3,4,2,4,6.654
2.03,2,0,2,9.454
0.36,3,3,2,6.41
0.71,2,2,3,8.063
1.0,1,1,1,8.346
0.71,2,4,1,7.701
0.43,2,1,3,6.957
1.04,3,0,1,8.65
1.1,3,2,4,8.87
1.12,2,3,1,8.587
0.57,4,0,1,7.47
0.81,2,2,1,7.958
1.28,4,3,3,9.142
0.51,4,0,4,7.54
0.51,2,6,4,6.892
1.19,4,2,5,9.253
0.7,1,4,4,7.72
0.41,4,3,5,6.915
0.72,4,6,6,7.668
1.67,3,4,2,9.002
0.74,1,1,3,8.136
0.54,4,5,4,7.139
0.31,1,3,4,6.229
0.7,3,2,3,7.889
0.7,2,4,1,7.653
1.08,2,4,4,8.617
1.01,2,5,1,8.21
0.41,4,2,6,7.212
0.65,2,2,1,7.503
1.01,3,1,1,8.571
1.0,4,3,2,8.168
0.7,3,3,1,7.734
0.5,1,1,4,7.219
0.57,3,0,1,7.575
0.72,3,6,1,7.365
1.23,3,3,2,8.391
0.43,3,0,4,6.804
0.38,2,5,4,6.308
0.5,3,3,5,7.499
0.33,4,4,3,6.611
0.79,4,1,1,8.031
1.23,3,4,4,8.866
0.42,4,1,2,6.8
0.31,4,1,1,6.492
0.34,4,0,6,7.148
0.9,1,2,1,8.225
2.5,2,6,1,9.743
0.56,4,3,3,7.544
0.7,1,0,2,7.706
0.32,4,2,5,6.608
0.9,1,3,0,7.76
0.72,4,1,5,8.262
1.61,2,1,2,9.023
0.41,3,0,2,6.526
0.9,1,3,3,8.407
1.0,3,0,4,8.551
0.31,1,4,5,6.438
0.34,4,2,4,6.78
1.23,4,3,3,9.12
0.53,4,0,4,7.527
0.5,4,1,4,7.465
0.9,4,1,1,8.398
1.01,3,2,2,8.178
0.41,3,3,4,6.967
1.07,4,4,4,8.648
0.61,4,2,2,7.261
2.01,3,3,2,9.626
1.2,2,5,1,8.596
2.02,3,4,2,9.751
0.61,3,2,1,7.215
1.5,2,2,2,9.071
